Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Net migration,SM.POP.NETM,World,WLD,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..
Net migration,SM.POP.NETM,Afghanistan,AFG,..,..,-20000,..,..,..,..,-20000,..,..,..,..,-20000,..,..,..,..,-1153959,..,..,..,..,-3345095,..,..,..,..,-1525351,..,..,..,..,3076383,..,..,..,..,-867540,..,..,..,..,744193,..,..,..,..,-1046361,..,..,..,..,521769,..,..,..,..,-314602,..,..,..
Net migration,SM.POP.NETM,Albania,ALB,..,..,-99,..,..,..,..,-99,..,..,..,..,-99,..,..,..,..,-99,..,..,..,..,-99,..,..,..,..,-99,..,..,..,..,-443212,..,..,..,..,-179606,..,..,..,..,-176774,..,..,..,..,-217358,..,..,..,..,-136590,..,..,..,..,-69998,..,..,..
Net migration,SM.POP.NETM,Algeria,DZA,..,..,-282941,..,..,..,..,-121335,..,..,..,..,-253436,..,..,..,..,-224833,..,..,..,..,-81020,..,..,..,..,-93302,..,..,..,..,-128679,..,..,..,..,-164413,..,..,..,..,-205228,..,..,..,..,-357340,..,..,..,..,-143268,..,..,..,..,-50002,..,..,..
Net migration,SM.POP.NETM,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,Angola,AGO,..,..,-296717,..,..,..,..,-587286,..,..,..,..,199800,..,..,..,..,199800,..,..,..,..,234148,..,..,..,..,188491,..,..,..,..,142812,..,..,..,..,199800,..,..,..,..,261100,..,..,..,..,357301,..,..,..,..,166267,..,..,..,..,32066,..,..,..
Net migration,SM.POP.NETM,Antigua and Barbuda,ATG,..,..,-1880,..,..,..,..,-1202,..,..,..,..,-7018,..,..,..,..,-4428,..,..,..,..,-3763,..,..,..,..,-2890,..,..,..,..,2231,..,..,..,..,2469,..,..,..,..,252,..,..,..,..,1887,..,..,..,..,943,..,..,..,..,0,..,..,..
Net migration,SM.POP.NETM,Argentina,ARG,..,..,122000,..,..,..,..,130000,..,..,..,..,142000,..,..,..,..,-230000,..,..,..,..,140000,..,..,..,..,160000,..,..,..,..,-105000,..,..,..,..,-128000,..,..,..,..,-125000,..,..,..,..,-120000,..,..,..,..,30000,..,..,..,..,24000,..,..,..
Net migration,SM.POP.NETM,Armenia,ARM,..,..,70335,..,..,..,..,103399,..,..,..,..,86404,..,..,..,..,17214,..,..,..,..,-51230,..,..,..,..,-67528,..,..,..,..,-496288,..,..,..,..,-223873,..,..,..,..,-160521,..,..,..,..,-183361,..,..,..,..,-30535,..,..,..,..,-24989,..,..,..
Net migration,SM.POP.NETM,Aruba,ABW,..,..,-4323,..,..,..,..,-4275,..,..,..,..,-3537,..,..,..,..,-5470,..,..,..,..,-1921,..,..,..,..,-5194,..,..,..,..,14218,..,..,..,..,6926,..,..,..,..,6263,..,..,..,..,-441,..,..,..,..,1253,..,..,..,..,1004,..,..,..
Net migration,SM.POP.NETM,Australia,AUS,..,..,384343,..,..,..,..,806193,..,..,..,..,259531,..,..,..,..,235744,..,..,..,..,453572,..,..,..,..,654209,..,..,..,..,351078,..,..,..,..,388419,..,..,..,..,589282,..,..,..,..,1210802,..,..,..,..,989375,..,..,..,..,791229,..,..,..
Net migration,SM.POP.NETM,Austria,AUT,..,..,15996,..,..,..,..,50401,..,..,..,..,82001,..,..,..,..,5502,..,..,..,..,18002,..,..,..,..,110999,..,..,..,..,227841,..,..,..,..,65082,..,..,..,..,178117,..,..,..,..,153763,..,..,..,..,267172,..,..,..,..,324998,..,..,..
Net migration,SM.POP.NETM,Azerbaijan,AZE,..,..,0,..,..,..,..,-40000,..,..,..,..,-50466,..,..,..,..,-50466,..,..,..,..,-101568,..,..,..,..,-161568,..,..,..,..,-115116,..,..,..,..,-111849,..,..,..,..,36523,..,..,..,..,53579,..,..,..,..,8499,..,..,..,..,6002,..,..,..
Net migration,SM.POP.NETM,"Bahamas, The",BHS,..,..,13873,..,..,..,..,13929,..,..,..,..,949,..,..,..,..,2981,..,..,..,..,646,..,..,..,..,-811,..,..,..,..,-322,..,..,..,..,-3001,..,..,..,..,11877,..,..,..,..,14536,..,..,..,..,4999,..,..,..,..,4999,..,..,..
Net migration,SM.POP.NETM,Bahrain,BHR,..,..,-4195,..,..,..,..,-8033,..,..,..,..,19123,..,..,..,..,48962,..,..,..,..,3234,..,..,..,..,12899,..,..,..,..,5480,..,..,..,..,39180,..,..,..,..,155500,..,..,..,..,272000,..,..,..,..,42000,..,..,..,..,239000,..,..,..
Net migration,SM.POP.NETM,Bangladesh,BGD,..,..,-142378,..,..,..,..,-161822,..,..,..,..,-3045287,..,..,..,..,-1137344,..,..,..,..,-793826,..,..,..,..,-219363,..,..,..,..,-813794,..,..,..,..,-719899,..,..,..,..,-1492537,..,..,..,..,-3254778,..,..,..,..,-2306839,..,..,..,..,-1847503,..,..,..
Net migration,SM.POP.NETM,Barbados,BRB,..,..,-17960,..,..,..,..,-13677,..,..,..,..,-6934,..,..,..,..,-5548,..,..,..,..,-7856,..,..,..,..,-6311,..,..,..,..,-5393,..,..,..,..,-3643,..,..,..,..,-3188,..,..,..,..,-249,..,..,..,..,-397,..,..,..,..,-397,..,..,..
Net migration,SM.POP.NETM,Belarus,BLR,..,..,-125387,..,..,..,..,65585,..,..,..,..,37146,..,..,..,..,38298,..,..,..,..,47114,..,..,..,..,-23021,..,..,..,..,-63057,..,..,..,..,56146,..,..,..,..,-6382,..,..,..,..,63933,..,..,..,..,72123,..,..,..,..,43648,..,..,..
Net migration,SM.POP.NETM,Belgium,BEL,..,..,38304,..,..,..,..,47288,..,..,..,..,70980,..,..,..,..,73523,..,..,..,..,18478,..,..,..,..,42556,..,..,..,..,106947,..,..,..,..,50870,..,..,..,..,219560,..,..,..,..,294270,..,..,..,..,258672,..,..,..,..,240000,..,..,..
Net migration,SM.POP.NETM,Belize,BLZ,..,..,-2418,..,..,..,..,-2957,..,..,..,..,-10665,..,..,..,..,-13542,..,..,..,..,-5332,..,..,..,..,-5404,..,..,..,..,-9011,..,..,..,..,11909,..,..,..,..,5797,..,..,..,..,8722,..,..,..,..,7594,..,..,..,..,6000,..,..,..
Net migration,SM.POP.NETM,Benin,BEN,..,..,-24295,..,..,..,..,-23742,..,..,..,..,-24845,..,..,..,..,-19393,..,..,..,..,-10848,..,..,..,..,-8723,..,..,..,..,68259,..,..,..,..,-2851,..,..,..,..,25005,..,..,..,..,-48776,..,..,..,..,-42268,..,..,..,..,-10000,..,..,..
Net migration,SM.POP.NETM,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,Bhutan,BTN,..,..,5000,..,..,..,..,10000,..,..,..,..,10001,..,..,..,..,10016,..,..,..,..,797,..,..,..,..,1595,..,..,..,..,-58565,..,..,..,..,143,..,..,..,..,6171,..,..,..,..,-10971,..,..,..,..,300,..,..,..,..,1600,..,..,..
Net migration,SM.POP.NETM,Bolivia,BOL,..,..,-20760,..,..,..,..,-23150,..,..,..,..,-26620,..,..,..,..,-40130,..,..,..,..,-73670,..,..,..,..,-64260,..,..,..,..,-51670,..,..,..,..,-64330,..,..,..,..,-77720,..,..,..,..,-67700,..,..,..,..,-57620,..,..,..,..,-47520,..,..,..
Net migration,SM.POP.NETM,Bosnia and Herzegovina,BIH,..,..,-50002,..,..,..,..,-96958,..,..,..,..,-82247,..,..,..,..,-74132,..,..,..,..,-29999,..,..,..,..,-134587,..,..,..,..,-740715,..,..,..,..,-159283,..,..,..,..,-6000,..,..,..,..,-59246,..,..,..,..,-258529,..,..,..,..,-107926,..,..,..
Net migration,SM.POP.NETM,Botswana,BWA,..,..,-22436,..,..,..,..,-24198,..,..,..,..,3992,..,..,..,..,17744,..,..,..,..,5203,..,..,..,..,46821,..,..,..,..,24296,..,..,..,..,36443,..,..,..,..,26928,..,..,..,..,26928,..,..,..,..,-73138,..,..,..,..,14999,..,..,..
Net migration,SM.POP.NETM,Brazil,BRA,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,15924,..,..,..,..,106000,..,..,..
Net migration,SM.POP.NETM,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,Brunei Darussalam,BRN,..,..,6422,..,..,..,..,10843,..,..,..,..,10886,..,..,..,..,8293,..,..,..,..,3622,..,..,..,..,3684,..,..,..,..,4770,..,..,..,..,4188,..,..,..,..,422,..,..,..,..,-2257,..,..,..,..,-901,..,..,..,..,0,..,..,..
Net migration,SM.POP.NETM,Bulgaria,BGR,..,..,-1437,..,..,..,..,-6423,..,..,..,..,-43396,..,..,..,..,-94868,..,..,..,..,-22346,..,..,..,..,-184143,..,..,..,..,-356464,..,..,..,..,-133824,..,..,..,..,-85500,..,..,..,..,-83742,..,..,..,..,-24472,..,..,..,..,-24001,..,..,..
Net migration,SM.POP.NETM,Burkina Faso,BFA,..,..,-144723,..,..,..,..,-144723,..,..,..,..,-170263,..,..,..,..,-217400,..,..,..,..,-217400,..,..,..,..,-183699,..,..,..,..,-150001,..,..,..,..,-137499,..,..,..,..,-125000,..,..,..,..,-125000,..,..,..,..,-125000,..,..,..,..,-125000,..,..,..
Net migration,SM.POP.NETM,Burundi,BDI,..,..,-84989,..,..,..,..,-57900,..,..,..,..,-266496,..,..,..,..,-150290,..,..,..,..,-139146,..,..,..,..,-180004,..,..,..,..,-320001,..,..,..,..,-455304,..,..,..,..,-24721,..,..,..,..,30004,..,..,..,..,-70001,..,..,..,..,10003,..,..,..
Net migration,SM.POP.NETM,Cabo Verde,CPV,..,..,-1167,..,..,..,..,4267,..,..,..,..,-34907,..,..,..,..,-27982,..,..,..,..,-20313,..,..,..,..,-27757,..,..,..,..,-6376,..,..,..,..,-5438,..,..,..,..,-9859,..,..,..,..,-11341,..,..,..,..,-8029,..,..,..,..,-6709,..,..,..
Net migration,SM.POP.NETM,Cambodia,KHM,..,..,0,..,..,..,..,-248418,..,..,..,..,-125000,..,..,..,..,-84999,..,..,..,..,-88854,..,..,..,..,-78022,..,..,..,..,409414,..,..,..,..,348495,..,..,..,..,-35156,..,..,..,..,-295987,..,..,..,..,-149999,..,..,..,..,-149999,..,..,..
Net migration,SM.POP.NETM,Cameroon,CMR,..,..,0,..,..,..,..,-1000,..,..,..,..,-2500,..,..,..,..,0,..,..,..,..,-16500,..,..,..,..,-19500,..,..,..,..,-48000,..,..,..,..,-48000,..,..,..,..,-54000,..,..,..,..,-54000,..,..,..,..,-36000,..,..,..,..,-24000,..,..,..
Net migration,SM.POP.NETM,Canada,CAN,..,..,178691,..,..,..,..,611117,..,..,..,..,758104,..,..,..,..,420633,..,..,..,..,373939,..,..,..,..,859217,..,..,..,..,690555,..,..,..,..,783535,..,..,..,..,1052013,..,..,..,..,1326431,..,..,..,..,1241416,..,..,..,..,1210159,..,..,..
Net migration,SM.POP.NETM,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Net migration,SM.POP.NETM,Central African Republic,CAF,..,..,11930,..,..,..,..,13145,..,..,..,..,-50000,..,..,..,..,-1000,..,..,..,..,40000,..,..,..,..,-80000,..,..,..,..,50000,..,..,..,..,30000,..,..,..,..,-24405,..,..,..,..,-125614,..,..,..,..,-396129,..,..,..,..,-200000,..,..,..
Net migration,SM.POP.NETM,Chad,TCD,..,..,-5000,..,..,..,..,-40950,..,..,..,..,-49050,..,..,..,..,-175500,..,..,..,..,-131245,..,..,..,..,1418,..,..,..,..,-10374,..,..,..,..,69444,..,..,..,..,218966,..,..,..,..,75000,..,..,..,..,100000,..,..,..,..,10000,..,..,..
Net migration,SM.POP.NETM,Channel Islands,CHI,..,..,2934,..,..,..,..,3880,..,..,..,..,4250,..,..,..,..,1726,..,..,..,..,5380,..,..,..,..,6085,..,..,..,..,1170,..,..,..,..,2291,..,..,..,..,1513,..,..,..,..,5970,..,..,..,..,3570,..,..,..,..,6754,..,..,..
Net migration,SM.POP.NETM,Chile,CHL,..,..,-146900,..,..,..,..,-196500,..,..,..,..,-161260,..,..,..,..,-148300,..,..,..,..,-154520,..,..,..,..,-68650,..,..,..,..,3610,..,..,..,..,19340,..,..,..,..,42330,..,..,..,..,107169,..,..,..,..,163730,..,..,..,..,558539,..,..,..
Net migration,SM.POP.NETM,China,CHN,..,..,-1125727,..,..,..,..,-160002,..,..,..,..,-1105479,..,..,..,..,-47004,..,..,..,..,-200000,..,..,..,..,-431651,..,..,..,..,-779982,..,..,..,..,-382999,..,..,..,..,-1965578,..,..,..,..,-2178385,..,..,..,..,-1552209,..,..,..,..,-1741996,..,..,..
Net migration,SM.POP.NETM,Colombia,COL,..,..,-306563,..,..,..,..,-338635,..,..,..,..,-380422,..,..,..,..,-419350,..,..,..,..,-370972,..,..,..,..,-324000,..,..,..,..,-287950,..,..,..,..,-259000,..,..,..,..,-231000,..,..,..,..,-195000,..,..,..,..,-193380,..,..,..,..,1023981,..,..,..
Net migration,SM.POP.NETM,Comoros,COM,..,..,-8491,..,..,..,..,-5500,..,..,..,..,-5500,..,..,..,..,10000,..,..,..,..,-4500,..,..,..,..,-4500,..,..,..,..,-3000,..,..,..,..,-6000,..,..,..,..,-10000,..,..,..,..,-10000,..,..,..,..,-10000,..,..,..,..,-10000,..,..,..
Net migration,SM.POP.NETM,"Congo, Dem. Rep.",COD,..,..,122650,..,..,..,..,242939,..,..,..,..,27450,..,..,..,..,100685,..,..,..,..,-450468,..,..,..,..,74515,..,..,..,..,1287106,..,..,..,..,-958174,..,..,..,..,-241564,..,..,..,..,-43426,..,..,..,..,15060,..,..,..,..,119303,..,..,..
Net migration,SM.POP.NETM,"Congo, Rep.",COG,..,..,0,..,..,..,..,0,..,..,..,..,0,..,..,..,..,-7407,..,..,..,..,2098,..,..,..,..,2000,..,..,..,..,22530,..,..,..,..,49302,..,..,..,..,51485,..,..,..,..,91771,..,..,..,..,-60000,..,..,..,..,-20000,..,..,..
Net migration,SM.POP.NETM,Costa Rica,CRI,..,..,7905,..,..,..,..,7827,..,..,..,..,12638,..,..,..,..,17425,..,..,..,..,18876,..,..,..,..,17417,..,..,..,..,69202,..,..,..,..,89527,..,..,..,..,41792,..,..,..,..,30339,..,..,..,..,19658,..,..,..,..,21000,..,..,..
Net migration,SM.POP.NETM,Cote d'Ivoire,CIV,..,..,200706,..,..,..,..,200706,..,..,..,..,393042,..,..,..,..,403322,..,..,..,..,427498,..,..,..,..,319134,..,..,..,..,375000,..,..,..,..,180000,..,..,..,..,-300000,..,..,..,..,-200000,..,..,..,..,-80000,..,..,..,..,-40000,..,..,..
Net migration,SM.POP.NETM,Croatia,HRV,..,..,1854,..,..,..,..,-1225,..,..,..,..,-18403,..,..,..,..,18681,..,..,..,..,54369,..,..,..,..,26145,..,..,..,..,-143579,..,..,..,..,-188129,..,..,..,..,-2580,..,..,..,..,-10499,..,..,..,..,-38493,..,..,..,..,-40004,..,..,..
