Country Name	Country Code	Series Name	Series Code	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]	2020 [YR2020]
Afghanistan	AFG	Refugee population by country or territory of asylum	SM.POP.REFG	6434	3011	16184	16861	300421	257553	59770	75927	72228	72227	..
Albania	ALB	Refugee population by country or territory of asylum	SM.POP.REFG	75	79	84	96	111	109	141	124	132	120	..
Algeria	DZA	Refugee population by country or territory of asylum	SM.POP.REFG	94141	94145	94130	94142	94119	94176	94220	94248	94341	98599	..
American Samoa	ASM	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	..	..	..	..	..	..	..	..
Andorra	AND	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	..	..	..	..	..	..	..	..
Angola	AGO	Refugee population by country or territory of asylum	SM.POP.REFG	15142	16212	23401	23771	15468	15547	15547	41119	39856	25793	..
Antigua and Barbuda	ATG	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	..	..	15	5	..	..	..	..
Argentina	ARG	Refugee population by country or territory of asylum	SM.POP.REFG	3257	3341	3468	3340	3473	3187	3267	3332	3442	3857	..
Armenia	ARM	Refugee population by country or territory of asylum	SM.POP.REFG	3292	2913	2849	13727	17635	19314	17883	17968	17966	17980	..
Aruba	ABW	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	..	..	..	..	..	..	..	..
Australia	AUS	Refugee population by country or territory of asylum	SM.POP.REFG	21790	23423	30061	34485	35565	36917	42187	48480	56934	76768	..
Austria	AUT	Refugee population by country or territory of asylum	SM.POP.REFG	42613	47055	51707	55575	60724	72198	93242	115252	128779	135951	..
Azerbaijan	AZE	Refugee population by country or territory of asylum	SM.POP.REFG	1894	1727	1467	1377	1298	1279	1193	1120	1130	1109	..
"Bahamas, The"	BHS	Refugee population by country or territory of asylum	SM.POP.REFG	27	27	36	14	12	7	9	8	14	10	..
Bahrain	BHR	Refugee population by country or territory of asylum	SM.POP.REFG	165	199	289	294	310	246	270	255	262	251	..
Bangladesh	BGD	Refugee population by country or territory of asylum	SM.POP.REFG	229256	229669	230696	231142	232468	231954	276203	932209	906640	854779	..
Barbados	BRB	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	..	..	..	..	..	..	..	..
Belarus	BLR	Refugee population by country or territory of asylum	SM.POP.REFG	587	594	572	599	919	1805	1647	2155	2225	2725	..
Belgium	BEL	Refugee population by country or territory of asylum	SM.POP.REFG	17891	22396	22023	25617	29170	35302	42158	42158	42158	61662	..
Belize	BLZ	Refugee population by country or territory of asylum	SM.POP.REFG	134	78	27	21	10	34	..	..	29	29	..
Benin	BEN	Refugee population by country or territory of asylum	SM.POP.REFG	7136	7213	4960	190	414	526	804	1056	1167	1238	..
Bermuda	BMU	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	..	..	..	..	..	..	..	..
Bhutan	BTN	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	..	..	..	..	..	..	..	..
Bolivia	BOL	Refugee population by country or territory of asylum	SM.POP.REFG	680	701	717	734	751	762	776	802	802	863	..
Bosnia and Herzegovina	BIH	Refugee population by country or territory of asylum	SM.POP.REFG	7014	6932	6904	6924	6883	6789	5266	5224	5227	5241	..
Botswana	BWA	Refugee population by country or territory of asylum	SM.POP.REFG	2983	3312	2784	2771	2642	2127	2090	2116	2044	1113	..
Brazil	BRA	Refugee population by country or territory of asylum	SM.POP.REFG	4346	4466	4681	5185	7478	8703	9674	10260	11304	32844	..
British Virgin Islands	VGB	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	..	..	..	..	..	..	..	..
Brunei Darussalam	BRN	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	..	..	..	..	..	..	..	..
Bulgaria	BGR	Refugee population by country or territory of asylum	SM.POP.REFG	5519	5676	2273	4305	11026	16543	17794	19166	19906	20438	..
Burkina Faso	BFA	Refugee population by country or territory of asylum	SM.POP.REFG	530	549	39304	29233	31894	34017	32551	24152	25120	25869	..
Burundi	BDI	Refugee population by country or territory of asylum	SM.POP.REFG	29364	35658	41811	45487	52931	53356	57462	62353	71501	78465	..
Cabo Verde	CPV	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	..	..	..	..	..	..	..	..
Cambodia	KHM	Refugee population by country or territory of asylum	SM.POP.REFG	124	61	75	64	59	74	61	61	..	..	..
Cameroon	CMR	Refugee population by country or territory of asylum	SM.POP.REFG	104269	100368	98961	114744	264122	342970	375413	337382	380327	406259	..
Canada	CAN	Refugee population by country or territory of asylum	SM.POP.REFG	165544	164879	163751	160347	149164	135890	97322	104768	114101	101757	..
Cayman Islands	CYM	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	5	5	10	18	29	34	34	..
Central African Republic	CAF	Refugee population by country or territory of asylum	SM.POP.REFG	21568	16737	14015	14323	7692	7332	12117	10033	6652	7170	..
Chad	TCD	Refugee population by country or territory of asylum	SM.POP.REFG	347931	366491	373690	434476	452897	369538	391235	411475	451203	442670	..
Channel Islands	CHI	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	..	..	..	..	..	..	..	..
Chile	CHL	Refugee population by country or territory of asylum	SM.POP.REFG	1613	1669	1692	1738	1764	1840	1730	1861	2026	2046	..
China	CHN	Refugee population by country or territory of asylum	SM.POP.REFG	300984	301016	301037	301045	301052	301044	317254	321714	321758	303379	..
Colombia	COL	Refugee population by country or territory of asylum	SM.POP.REFG	198	208	204	207	198	212	241	260	294	634	..
Comoros	COM	Refugee population by country or territory of asylum	SM.POP.REFG	..	..	..	..	..	..	..	..	..	..	..
"Congo, Dem. Rep."	COD	Refugee population by country or territory of asylum	SM.POP.REFG	166333	152748	65106	113357	119752	383095	451957	537089	529065	523733	..
"Congo, Rep."	COG	Refugee population by country or territory of asylum	SM.POP.REFG	133099	141224	98446	51033	54842	44952	46454	48509	37491	25668	..
Costa Rica	CRI	Refugee population by country or territory of asylum	SM.POP.REFG	19486	20044	20435	20554	20726	3603	4162	4479	4531	6204	..
Cote d'Ivoire	CIV	Refugee population by country or territory of asylum	SM.POP.REFG	26213	24212	3972	2970	1918	1972	1397	1559	1808	2020	..
