Series Name	Series Code	Country Name	Country Code	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]
Refugee population by country or territory of origin	SM.POP.REFG.OR	Afghanistan	AFG	3054699	2664423	2586132	2556483	2596259	2666294	2501447	2624265	2681267	2728853
Refugee population by country or territory of origin	SM.POP.REFG.OR	Albania	ALB	14771	13552	12569	10104	10156	10404	11060	12168	13512	15027
Refugee population by country or territory of origin	SM.POP.REFG.OR	Algeria	DZA	6665	6098	5657	3643	3509	3470	3705	4021	4186	4514
Refugee population by country or territory of origin	SM.POP.REFG.OR	American Samoa	ASM	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Andorra	AND	5	5	6	5	5	5	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Angola	AGO	134851	128657	19253	10274	9468	11855	8388	8292	8243	8178
Refugee population by country or territory of origin	SM.POP.REFG.OR	Antigua and Barbuda	ATG	28	32	45	50	53	56	82	99	107	117
Refugee population by country or territory of origin	SM.POP.REFG.OR	Argentina	ARG	553	506	435	381	311	186	120	121	112	99
Refugee population by country or territory of origin	SM.POP.REFG.OR	Armenia	ARM	17553	16491	15937	11995	11839	11211	10707	10786	11040	10962
Refugee population by country or territory of origin	SM.POP.REFG.OR	Aruba	ABW	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Australia	AUS	38	38	47	27	27	21	15	10	10	20
Refugee population by country or territory of origin	SM.POP.REFG.OR	Austria	AUT	10	10	15	5	5	..	..	10	24	18
Refugee population by country or territory of origin	SM.POP.REFG.OR	Azerbaijan	AZE	16756	16168	15541	10808	10508	9707	10118	10893	11246	11626
Refugee population by country or territory of origin	SM.POP.REFG.OR	Bahamas, The	BHS	17	184	195	208	216	216	298	378	421	501
Refugee population by country or territory of origin	SM.POP.REFG.OR	Bahrain	BHR	81	213	294	274	344	422	461	497	540	557
Refugee population by country or territory of origin	SM.POP.REFG.OR	Bangladesh	BGD	10044	10045	10157	9718	10870	12155	13840	16780	21023	22880
Refugee population by country or territory of origin	SM.POP.REFG.OR	Barbados	BRB	29	42	50	63	82	95	144	172	211	243
Refugee population by country or territory of origin	SM.POP.REFG.OR	Belarus	BLR	5735	5916	6181	4387	4296	4117	3831	3650	3526	3425
Refugee population by country or territory of origin	SM.POP.REFG.OR	Belgium	BEL	80	88	91	76	76	66	44	52	50	34
Refugee population by country or territory of origin	SM.POP.REFG.OR	Belize	BLZ	21	29	35	37	42	48	58	64	68	73
Refugee population by country or territory of origin	SM.POP.REFG.OR	Benin	BEN	438	460	451	294	330	400	479	572	659	716
Refugee population by country or territory of origin	SM.POP.REFG.OR	Bermuda	BMU	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Bhutan	BTN	75062	57980	41582	31556	23633	17709	11757	7954	7100	6980
Refugee population by country or territory of origin	SM.POP.REFG.OR	Bolivia	BOL	589	615	616	594	594	566	530	520	502	514
Refugee population by country or territory of origin	SM.POP.REFG.OR	Bosnia and Herzegovina	BIH	62996	58572	51815	26787	21883	18763	18194	17690	16956	16556
Refugee population by country or territory of origin	SM.POP.REFG.OR	Botswana	BWA	56	88	125	165	234	306	265	279	289	228
Refugee population by country or territory of origin	SM.POP.REFG.OR	Brazil	BRA	991	1040	1073	982	977	893	803	851	1038	1399
Refugee population by country or territory of origin	SM.POP.REFG.OR	British Virgin Islands	VGB	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Brunei Darussalam	BRN	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Bulgaria	BGR	2558	2322	2143	1875	1644	1264	799	716	620	561
Refugee population by country or territory of origin	SM.POP.REFG.OR	Burkina Faso	BFA	1141	1262	1458	1578	1853	2147	2352	2694	11447	11733
Refugee population by country or territory of origin	SM.POP.REFG.OR	Burundi	BDI	84053	101282	73354	72636	72477	292750	408066	439320	387850	381508
Refugee population by country or territory of origin	SM.POP.REFG.OR	Cabo Verde	CPV	22	22	22	22	27	27	10	5	10	10
Refugee population by country or territory of origin	SM.POP.REFG.OR	Cambodia	KHM	16308	15201	14016	13738	13066	12801	12428	12238	12139	11986
Refugee population by country or territory of origin	SM.POP.REFG.OR	Cameroon	CMR	14952	15149	13360	11410	10739	10565	10344	11032	45118	66305
Refugee population by country or territory of origin	SM.POP.REFG.OR	Canada	CAN	86	108	121	94	89	73	76	75	81	71
Refugee population by country or territory of origin	SM.POP.REFG.OR	Cayman Islands	CYM	..	..	..	6	6	6	6	6	6	6
Refugee population by country or territory of origin	SM.POP.REFG.OR	Central African Republic	CAF	164902	162861	164567	252854	412028	471093	490879	545513	590858	610203
Refugee population by country or territory of origin	SM.POP.REFG.OR	Chad	TCD	53713	42619	39674	48618	48236	14921	14176	16325	10895	11192
Refugee population by country or territory of origin	SM.POP.REFG.OR	Channel Islands	CHI	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Chile	CHL	1163	1182	1145	588	571	554	495	493	479	486
Refugee population by country or territory of origin	SM.POP.REFG.OR	China	CHN	184601	190369	193449	195121	210793	212911	207768	207716	212039	212863
Refugee population by country or territory of origin	SM.POP.REFG.OR	Colombia	COL	395579	395950	394112	396711	360291	340116	311059	191635	138583	189448
Refugee population by country or territory of origin	SM.POP.REFG.OR	Comoros	COM	365	420	449	509	580	550	572	600	624	658
Refugee population by country or territory of origin	SM.POP.REFG.OR	Congo, Dem. Rep.	COD	476691	491470	509275	499551	516765	541487	537474	620805	720302	807374
Refugee population by country or territory of origin	SM.POP.REFG.OR	Congo, Rep.	COG	20682	12836	12113	11744	14498	14772	13291	13295	13354	13481
Refugee population by country or territory of origin	SM.POP.REFG.OR	Costa Rica	CRI	352	332	325	463	414	374	202	195	207	206
Refugee population by country or territory of origin	SM.POP.REFG.OR	Cote d'Ivoire	CIV	41747	154818	100709	85650	71956	71107	46811	40009	38316	39364
Refugee population by country or territory of origin	SM.POP.REFG.OR	Croatia	HRV	65863	62653	62606	49755	40121	33452	26231	24869	24105	23793
Refugee population by country or territory of origin	SM.POP.REFG.OR	Cuba	CUB	7460	7845	7722	7453	7497	6827	5940	5331	5488	6631
Refugee population by country or territory of origin	SM.POP.REFG.OR	Curacao	CUW	..	..	..	35	35	35	35	35	35	35
Refugee population by country or territory of origin	SM.POP.REFG.OR	Cyprus	CYP	15	10	10	10	10	..	..	..	7	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Czech Republic	CZE	811	758	620	984	1321	1280	1266	1272	1236	1166
Refugee population by country or territory of origin	SM.POP.REFG.OR	Denmark	DNK	6	6	6	6	11	11	..	..	..	5
Refugee population by country or territory of origin	SM.POP.REFG.OR	Djibouti	DJI	556	595	626	747	870	1059	1437	1761	2124	2351
Refugee population by country or territory of origin	SM.POP.REFG.OR	Dominica	DMA	51	49	52	41	35	35	20	26	36	50
Refugee population by country or territory of origin	SM.POP.REFG.OR	Dominican Republic	DOM	238	239	280	298	348	382	359	427	472	546
Refugee population by country or territory of origin	SM.POP.REFG.OR	Ecuador	ECU	859	912	848	711	807	1006	1041	1251	1424	1652
Refugee population by country or territory of origin	SM.POP.REFG.OR	Egypt, Arab Rep.	EGY	6905	7924	10013	12804	15899	17929	19792	22106	24850	27506
Refugee population by country or territory of origin	SM.POP.REFG.OR	El Salvador	SLV	4978	6725	8173	9634	10968	14778	19617	25876	32562	41850
Refugee population by country or territory of origin	SM.POP.REFG.OR	Equatorial Guinea	GNQ	306	261	230	196	168	142	131	127	140	156
Refugee population by country or territory of origin	SM.POP.REFG.OR	Eritrea	ERI	222454	251941	285356	308210	363081	407428	457247	486209	507260	505118
Refugee population by country or territory of origin	SM.POP.REFG.OR	Estonia	EST	242	225	455	349	340	315	303	288	281	269
Refugee population by country or territory of origin	SM.POP.REFG.OR	Eswatini	SWZ	32	39	59	103	151	213	224	231	237	217
Refugee population by country or territory of origin	SM.POP.REFG.OR	Ethiopia	ETH	68838	70601	74965	77109	86857	85839	83958	87448	92232	95685
Refugee population by country or territory of origin	SM.POP.REFG.OR	Faroe Islands	FRO	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Fiji	FJI	1849	1576	1314	1109	927	887	791	734	675	591
Refugee population by country or territory of origin	SM.POP.REFG.OR	Finland	FIN	6	6	5	5	5	10	5	5	5	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	France	FRA	90	92	94	92	84	90	50	54	59	50
Refugee population by country or territory of origin	SM.POP.REFG.OR	French Polynesia	PYF	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Gabon	GAB	167	180	189	180	179	174	167	216	342	440
Refugee population by country or territory of origin	SM.POP.REFG.OR	Gambia, The	GMB	2233	2572	3063	3382	5122	8473	11589	14564	17237	17813
Refugee population by country or territory of origin	SM.POP.REFG.OR	Georgia	GEO	10636	10115	9266	6787	6687	6505	6405	6535	6983	7519
Refugee population by country or territory of origin	SM.POP.REFG.OR	Germany	DEU	159	169	174	164	170	153	67	66	61	69
Refugee population by country or territory of origin	SM.POP.REFG.OR	Ghana	GHA	20175	20333	24269	21048	22116	22962	15527	16959	18071	18425
Refugee population by country or territory of origin	SM.POP.REFG.OR	Gibraltar	GIB	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Greece	GRC	52	54	48	88	108	111	101	106	107	95
Refugee population by country or territory of origin	SM.POP.REFG.OR	Greenland	GRL	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Grenada	GRD	344	325	316	330	324	270	100	103	96	80
Refugee population by country or territory of origin	SM.POP.REFG.OR	Guam	GUM	..	..	..	..	..	..	..	..	..	..
Refugee population by country or territory of origin	SM.POP.REFG.OR	Guatemala	GTM	5675	6087	6389	6620	7487	10284	12549	16284	19128	22770
Refugee population by country or territory of origin	SM.POP.REFG.OR	Guinea	GIN	11978	13164	14062	14559	15247	16995	17536	20333	23493	26857
Refugee population by country or territory of origin	SM.POP.REFG.OR	Guinea-Bissau	GNB	1117	1118	1173	1222	1306	1472	1650	1870	2043	2093
Refugee population by country or territory of origin	SM.POP.REFG.OR	Guyana	GUY	746	768	800	800	700	508	269	260	283	284
Refugee population by country or territory of origin	SM.POP.REFG.OR	Haiti	HTI	25886	33652	38559	38644	37147	34762	29671	28424	27517	26734
Refugee population by country or territory of origin	SM.POP.REFG.OR	Honduras	HND	1300	1967	2612	3299	4157	6847	10509	14424	18857	26370
Refugee population by country or territory of origin	SM.POP.REFG.OR	Hong Kong SAR, China	HKG	16	14	18	24	25	33	15	11	11	5
Refugee population by country or territory of origin	SM.POP.REFG.OR	Hungary	HUN	1435	1234	1085	1218	1264	1447	2909	3336	3927	4007
Refugee population by country or territory of origin	SM.POP.REFG.OR	Iceland	ISL	5	..	..	..	..	..	..	5	5	5
